Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
258,141,265,CGC,CGC,COSTA GROUP HOLDINGS LIMITED, 653 ,Process Industries,-27%,0.8,24.8,,1.3,2%,6%,21%,12%
167,264,89,MMS,MMS,MCMILLAN SHAKESPEARE LIMITED, 642 ,Finance,-9%,1.7,14.8,11,3.6,10%,25%,28%,24%
64,85,223,GMA,GMA,GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED, 640 ,Finance,26%,3.1,7.6,3,0.7,4%,11%,,
347,237,93,CKF,CKF,COLLINS FOODS LIMITED, 639 ,Consumer Services,-34%,0.9,18.8,20.2,2.6,4%,15%,53%,44%
310,110,15,WAF,WAF,WEST AFRICAN RESOURCES LIMITED, 637 ,Non-Energy Minerals,-29%,1.3,4.4,4.7,1.9,31%,52%,57%,47%
221,324,200,DUI,DUI,DIVERSIFIED UNITED INVESTMENT LIMITED, 631 ,Miscellaneous,-12%,17.2,21.4,38.2,1.1,4%,5%,96%,5%
420,290,5,PTM,PTM,PLATINUM ASSET MANAGEMENT LIMITED, 629 ,Finance,-43%,4,10.1,,3.1,28%,31%,95%,69%
175,423,422,NEA,NEA,NEARMAP LTD, 626 ,Technology Services,-8%,6.7,,31.2,7.9,-13%,-23%,-1%,0%
86,306,136,DTL,DTL,DATA#3 LIMITED, 610 ,Technology Services,14%,0.5,33,,16.1,4%,51%,10%,27%
343,232,212,GUD,GUD,G.U.D. HOLDINGS LIMITED, 609 ,Consumer Durables,-37%,1,30.9,37.2,1.2,2%,4%,40%,18%
7,490,451,NEU,NEU,NEUREN PHARMACEUTICALS LIMITED, 609 ,Health Technology,305%,,,,24.7,-26%,-28%,,0%
404,24,256,ABC,ABC,ADBRI LIMITED, 602 ,Non-Energy Minerals,-54%,0.6,9.1,,0.8,5%,9%,13%,10%
356,195,229,KLS,KLS,KELSIAN GROUP LIMITED, 600 ,Consumer Services,-42%,0.8,18.8,20.6,1.6,4%,9%,19%,16%
385,122,242,BGA,BGA,BEGA CHEESE LIMITED, 597 ,Consumer Non-Durables,-43%,0.3,40.1,18.2,0.8,1%,2%,23%,29%
152,381,157,BOE,BOE,BOSS ENERGY LTD, 584 ,Non-Energy Minerals,0%,,25.9,,3.9,18%,19%,,0%
142,213,25,VSL,VSL,VULCAN STEEL LIMITED, 582 ,Distribution Services,-2%,1,7.9,,5.5,18%,94%,39%,47%
360,328,160,HSN,HSN,HANSEN TECHNOLOGIES LIMITED, 580 ,Technology Services,-28%,3.2,22.5,16.8,3,8%,14%,24%,14%
107,463,39,PWH,PWH,PWR HOLDINGS LIMITED, 578 ,Producer Manufacturing,3%,9,43.6,251.7,11.9,22%,30%,34%,35%
479,422,455,MP1,MP1,MEGAPORT LIMITED, 576 ,Technology Services,-68%,8.4,,,6.5,-22%,-30%,-19%,-9%
394,231,206,ING,ING,INGHAMS GROUP LIMITED, 571 ,Process Industries,-36%,0.3,25.9,4.7,5.7,1%,22%,15%,16%
295,53,116,29M,29M,29METALS LIMITED, 564 ,Non-Energy Minerals,-32%,0.8,7.6,,1.2,12%,32%,21%,10%
46,481,421,CXL,CXL,CALIX LIMITED, 560 ,Industrial Services,4%,45.9,,,19.6,-29%,-40%,5%,2%
464,433,42,CUV,CUV,CLINUVEL PHARMACEUTICALS LIMITED, 556 ,Health Technology,-56%,14.2,44.8,20.1,7.1,17%,19%,71%,32%
467,189,28,CDA,CDA,CODAN LIMITED, 552 ,Consumer Durables,-64%,1.8,8.8,,2.4,18%,30%,50%,43%
62,42,222,ASB,ASB,AUSTAL LIMITED, 547 ,Producer Manufacturing,26%,0.6,10.9,,0.9,5%,9%,16%,14%
429,376,429,VUL,VUL,VULCAN ENERGY RESOURCES LIMITED, 545 ,Non-Energy Minerals,-56%,130.6,,,2.4,-11%,-12%,-290%,-4%
276,201,333,UMG,UMG,UNITED MALT GROUP LIMITED, 537 ,Consumer Non-Durables,-29%,0.7,79.3,36.2,0.8,1%,1%,10%,7%
243,255,383,JRV,JRV,JERVOIS GLOBAL LIMITED, 532 ,Non-Energy Minerals,-10%,3.7,,,2.1,-2%,-5%,,0%
334,108,215,UOS,UOS,UNITED OVERSEAS AUSTRALIA LIMITED, 531 ,Finance,-24%,2.9,9.9,9.1,0.5,3%,5%,73%,6%
71,54,29,GRR,GRR,GRANGE RESOURCES LIMITED., 525 ,Non-Energy Minerals,21%,1.1,3.4,3.4,1,23%,28%,48%,40%
414,236,369,HTA,HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED, 522 ,Communications,-47%,,,54.7,1.1,-3%,-3%,,
445,409,367,SDR,SDR,SITEMINDER LIMITED, 516 ,Technology Services,-54%,5.1,,,7,-94%,,54%,-15%
342,341,83,IMD,IMD,IMDEX LIMITED, 512 ,Distribution Services,-26%,2.5,18.8,78.8,2.7,12%,16%,34%,30%
288,428,10,JIN,JIN,JUMBO INTERACTIVE LIMITED, 511 ,Consumer Services,-19%,7.5,25.1,48.4,8.3,26%,35%,78%,62%
4,154,8,TER,TER,TERRACOM LIMITED, 506 ,Energy Minerals,319%,0.9,3.8,1.5,5.4,38%,603%,48%,91%
443,351,469,ERA,ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED, 500 ,Non-Energy Minerals,-52%,4.2,,,,-79%,,-362%,-82%
250,158,287,GEM,GEM,G8 EDUCATION LIMITED, 488 ,Consumer Services,-20%,0.9,26.8,22,0.8,2%,3%,21%,10%
118,316,474,TIE,TIE,TIETTO MINERALS LIMITED, 479 ,Non-Energy Minerals,53%,,,,3.3,-34%,-37%,,-1%
488,330,291,TYR,TYR,TYRO PAYMENTS LIMITED, 473 ,Finance,-63%,2.4,,,4.9,-7%,-17%,38%,30%
350,267,47,NCK,NCK,NICK SCALI LIMITED, 471 ,Retail Trade,-37%,1.7,10,12.3,5.3,14%,59%,37%,27%
19,484,279,AGY,AGY,ARGOSY MINERALS LIMITED, 469 ,Non-Energy Minerals,102%,,154.6,,11.4,7%,7%,,0%
47,450,432,MCR,MCR,MINCOR RESOURCES NL, 466 ,Non-Energy Minerals,9%,22.3,,,7.3,-8%,-15%,,-1%
454,173,224,AX1,AX1,ACCENT GROUP LIMITED, 459 ,Distribution Services,-46%,0.7,24.2,9.8,1.7,3%,7%,21%,19%
231,300,170,DJW,DJW,DJERRIWARRH INVESTMENTS LIMITED, 458 ,Miscellaneous,-13%,13.3,14.8,160.5,0.9,5%,6%,97%,6%
397,138,137,MGH,MGH,MAAS GROUP HOLDINGS LIMITED, 457 ,Distribution Services,-57%,1.4,11.6,,1.6,9%,17%,25%,13%
374,182,348,OML,OML,OOH!MEDIA LIMITED, 448 ,Commercial Services,-38%,1.4,138.4,7,0.9,0%,1%,13%,3%
440,184,435,MSB,MSB,MESOBLAST LIMITED, 448 ,Health Technology,-43%,45.4,,,0.9,-12%,-17%,-202%,-3%
121,92,43,SWM,SWM,SEVEN WEST MEDIA LIMITED, 446 ,Consumer Services,5%,0.5,3.4,4.6,2.7,15%,122%,31%,34%
200,355,241,QAL,QAL,QUALITAS LIMITED, 443 ,Finance,-6%,14.2,55.3,11.9,1.9,2%,4%,84%,5%
239,165,399,BGL,BGL,BELLEVUE GOLD LIMITED, 442 ,Non-Energy Minerals,-23%,,,,2,-6%,-6%,,0%
50,387,1,LLL,LLL,LEO LITHIUM LIMITED, 441 ,Non-Energy Minerals,8%,,9.7,,29000,106%,234%,,
41,245,191,RIC,RIC,RIDLEY CORPORATION LIMITED, 439 ,Process Industries,59%,0.7,16.3,103.6,2.1,7%,14%,10%,16%
184,5,292,PRN,PRN,PERENTI GLOBAL LIMITED, 427 ,Industrial Services,0%,0.3,,,0.5,1%,3%,,13%
240,114,19,ACL,ACL,AUSTRALIAN CLINICAL LABS LIMITED, 422 ,Health Services,-22%,0.7,3.8,3.9,2.9,32%,113%,37%,58%
442,275,174,MAF,MAF,MA FINANCIAL GROUP LIMITED, 421 ,Finance,-51%,2.5,16.7,31.5,1.7,3%,12%,53%,11%
123,260,400,TUA,TUA,TUAS LIMITED, 419 ,Communications,-4%,11.1,,,1.4,-6%,-6%,-28%,-3%
378,272,164,RPL,RPL,REGAL PARTNERS LIMITED, 419 ,Finance,-34%,2,93.1,14.1,1.3,2%,3%,94%,21%
88,319,63,EMR,EMR,EMERALD RESOURCES NL, 415 ,Non-Energy Minerals,11%,2.9,14.2,31.9,2.7,13%,26%,47%,21%
83,16,327,SIG,SIG,SIGMA HEALTHCARE LIMITED, 414 ,Health Technology,13%,0.2,,,1.3,-1%,-2%,6%,17%
196,298,250,PL8,PL8,PLATO INCOME MAXIMISER LIMITED., 412 ,Finance,-8%,8.7,,52.5,1.1,-2%,-2%,93%,11%
188,338,186,EQT,EQT,EQT HOLDINGS LIMITED, 412 ,Finance,-11%,4.9,24,35,1.9,7%,9%,,
401,27,176,PPM,PPM,PEPPER MONEY LIMITED, 407 ,Finance,-41%,0.7,4.5,,1,1%,23%,91%,4%
499,48,441,PBH,PBH,POINTSBET HOLDINGS LIMITED, 406 ,Consumer Services,-80%,1.9,,,0.9,-34%,-45%,-1%,0%
254,87,335,SGF,SGF,SG FLEET GROUP LIMITED, 405 ,Finance,-32%,1.1,10.8,,1.2,4%,13%,-17%,-4%
22,331,53,MAD,MAD,MADER GROUP LIMITED, 404 ,Consumer Services,119%,1.5,22,,7,19%,38%,20%,45%
301,285,351,CBO,CBO,COBRAM ESTATE OLIVES LIMITED, 403 ,Process Industries,-25%,4.5,,,2.3,0%,0%,12%,3%
37,372,49,OFX,OFX,OFX GROUP LIMITED, 403 ,Finance,61%,4.1,26.6,12.8,6.1,6%,27%,87%,34%
423,316,41,SIQ,SIQ,SMARTGROUP CORPORATION LTD, 391 ,Commercial Services,-50%,2.7,9.6,5485.8,2.3,15%,26%,56%,29%
386,247,286,SHV,SHV,SELECT HARVESTS LIMITED, 389 ,Process Industries,-36%,2.7,39.1,,1.2,3%,5%,24%,5%
227,191,313,KKC,KKC,KKR CREDIT INCOME FUND, 382 ,Miscellaneous,-18%,14.5,,8.6,0.9,-8%,-8%,83%,5%
18,489,479,SLX,SLX,SILEX SYSTEMS LIMITED, 382 ,Electronic Technology,103%,133,,1433,11.6,-24%,-26%,,
478,390,85,TPW,TPW,TEMPLE & WEBSTER GROUP LTD, 380 ,Retail Trade,-62%,1.6,56.4,53.5,6.2,8%,13%,35%,89%
355,4,465,WGB,WGB,WAM GLOBAL LIMITED, 379 ,Finance,-35%,,,,0.8,-16%,-17%,,-22%
427,239,271,IDX,IDX,INTEGRAL DIAGNOSTICS LIMITED, 379 ,Health Services,-44%,1.5,38.3,,1.7,2%,5%,24%,11%
206,301,236,WHF,WHF,WHITEFIELD INDUSTRIALS LIMITED, 369 ,Miscellaneous,-10%,26.8,32.6,,1,3%,3%,92%,3%
247,403,398,DYL,DYL,DEEP YELLOW LIMITED, 369 ,Non-Energy Minerals,-29%,5633.6,,,2.6,-6%,-7%,,
53,447,406,NMT,NMT,NEOMETALS LTD, 365 ,Non-Energy Minerals,16%,,367.2,,4.6,-7%,-8%,,0%
171,230,374,PGF,PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED, 362 ,Miscellaneous,-5%,44.6,,,1,0%,0%,-38%,-1%
216,66,349,COE,COE,COOPER ENERGY LIMITED, 356 ,Energy Minerals,-25%,1.8,,9.5,0.7,-1%,-3%,19%,3%
218,463,371,AD8,AD8,AUDINATE GROUP LIMITED, 352 ,Electronic Technology,-18%,12,,6903.3,7.4,-5%,-6%,4%,2%
217,225,189,QRI,QRI,QUALITAS REAL ESTATE INCOME FUND, 345 ,Miscellaneous,-9%,12.8,17.2,,0.9,6%,6%,79%,5%
96,263,294,PFP,PFP,PROPEL FUNERAL PARTNERS LIMITED, 345 ,Consumer Services,9%,3.7,,,2.2,0%,0%,31%,10%
336,356,261,MIR,MIR,MIRRABOOKA INVESTMENTS LIMITED, 344 ,Miscellaneous,-28%,47.5,75.5,,1.2,1%,1%,99%,2%
145,289,137,MOT,MOT,METRICS INCOME OPPORTUNITIES TRUST, 344 ,Miscellaneous,0%,12.5,9.4,180.2,1,10%,10%,76%,5%
475,166,293,RMS,RMS,RAMELIUS RESOURCES LIMITED, 341 ,Non-Energy Minerals,-60%,0.9,34.6,37.8,0.7,1%,2%,20%,12%
282,100,358,AQZ,AQZ,ALLIANCE AVIATION SERVICES LIMITED, 339 ,Transportation,-15%,1.4,,,1.7,-1%,-2%,6%,4%
13,292,380,STA,STA,STRANDLINE RESOURCES LIMITED, 339 ,Non-Energy Minerals,121%,,,,3,-3%,-6%,,0%
2,454,416,GL1,GL1,GLOBAL LITHIUM RESOURCES LIMITED, 338 ,Non-Energy Minerals,551%,,,,9.1,-11%,-12%,,0%
230,240,393,REG,REG,REGIS HEALTHCARE LIMITED, 336 ,Health Services,-13%,0.7,,12.9,6.8,-2%,-35%,1%,0%
447,6,443,HM1,HM1,HEARTS AND MINDS INVESTMENTS LIMITED, 336 ,Miscellaneous,-46%,,,,0.8,-12%,-12%,,-1%
466,244,308,ABB,ABB,AUSSIE BROADBAND LIMITED, 334 ,Communications,-56%,0.9,94.1,,2,1%,3%,12%,10%
72,362,433,STX,STX,STRIKE ENERGY LIMITED, 331 ,Energy Minerals,23%,,,,4,-10%,-12%,,-1%
181,123,370,EHE,EHE,ESTIA HEALTH LIMITED, 331 ,Health Services,-5%,0.8,,42.8,1,-3%,-9%,2%,3%
473,461,6,AEF,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED, 330 ,Finance,-63%,7.6,56.6,81.7,21.8,23%,39%,84%,142%
25,331,462,ARU,ARU,ARAFURA RESOURCES LIMITED, 326 ,Non-Energy Minerals,40%,,,,3.5,-27%,-28%,,0%
111,79,102,MYR,MYR,MYER HOLDINGS LIMITED, 320 ,Retail Trade,13%,0.2,10.7,1.8,1.9,2%,20%,46%,43%
370,133,390,VG1,VG1,VGI PARTNERS GLOBAL INVESTMENTS LIMITED, 319 ,Finance,-34%,62.8,,,0.5,-1%,-2%,,-4%
361,160,146,GWA,GWA,GWA GROUP LIMITED., 319 ,Consumer Durables,-30%,1.3,14.8,,1.7,5%,12%,39%,22%
24,452,459,BCB,BCB,BOWEN COKING COAL LIMITED, 317 ,Energy Minerals,67%,41.6,,,6.9,-19%,-37%,-83%,-5%
169,57,221,PWR,PWR,PETER WARREN AUTOMOTIVE HOLDINGS LIMITED, 314 ,Retail Trade,-3%,0.3,8.6,7.6,1,6%,13%,9%,13%
135,155,192,PPC,PPC,PEET LIMITED, 313 ,Finance,-4%,1.9,9.9,20.6,0.9,5%,10%,36%,10%
8,419,63,CAU,CAU,CRONOS AUSTRALIA LIMITED, 313 ,Health Technology,411%,6.4,71,9.3,18.6,22%,34%,19%,29%
305,19,364,MYX,MYX,MAYNE PHARMA GROUP LIMITED, 312 ,Health Technology,-15%,1.1,,,0.9,-19%,-40%,25%,8%
156,72,269,ECX,ECX,ECLIPX GROUP LIMITED, 310 ,Finance,-21%,1.4,6.1,6.4,1,5%,17%,12%,2%
40,393,366,RNU,RNU,RENASCOR RESOURCES LIMITED, 308 ,Non-Energy Minerals,61%,,,,4.8,-2%,-2%,,0%
493,375,350,CTT,CTT,CETTIRE LIMITED, 305 ,Retail Trade,-60%,2.1,,,25.4,-34%,-72%,16%,60%
189,61,448,MGX,MGX,MOUNT GIBSON IRON LIMITED, 302 ,Non-Energy Minerals,-12%,2.5,,,0.9,-20%,-28%,-16%,-4%
446,40,111,OMH,OMH,OM HOLDINGS LIMITED, 302 ,Miscellaneous,-48%,0.5,,10.3,0.9,7%,18%,,19%
163,274,219,GCI,GCI,GRYPHON CAPITAL INCOME TRUST, 293 ,Miscellaneous,-5%,17.6,25.4,,1,4%,4%,86%,4%
486,252,299,FCL,FCL,FINEOS CORPORATION HOLDINGS PLC, 290 ,Technology Services,-64%,2.3,,27.7,1.8,-13%,-17%,47%,27%
457,135,269,PGH,PGH,PACT GROUP HOLDINGS LTD, 290 ,Process Industries,-57%,0.3,39,12.1,1.1,1%,3%,24%,20%
273,121,401,FGX,FGX,FUTURE GENERATION INVESTMENT COMPANY LIMITED, 289 ,Finance,-20%,9.4,,,0.8,-6%,-7%,,
219,448,496,OPT,OPT,OPTHEA LIMITED, 288 ,Health Technology,-23%,2670.9,,,4.8,-94%,-102%,,
337,218,316,MYS,MYS,MYSTATE LIMITED, 286 ,Finance,-20%,2.3,13.8,24.1,1,0%,8%,,
323,41,379,HAS,HAS,HASTINGS TECHNOLOGY METALS LTD, 284 ,Non-Energy Minerals,-36%,,,,1.3,-4%,-4%,,0%
253,379,289,IFM,IFM,INFOMEDIA LTD, 284 ,Technology Services,-18%,3.8,55.3,24.2,3.1,4%,6%,10%,6%
327,462,486,GMD,GMD,GENESIS MINERALS LIMITED, 283 ,Non-Energy Minerals,-18%,,,,9.9,-126%,-176%,,0%
402,215,268,AFG,AFG,AUSTRALIAN FINANCE GROUP LTD, 283 ,Finance,-39%,0.5,12,30.8,2.5,1%,20%,22%,3%
335,73,461,FGG,FGG,FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED, 277 ,Finance,-28%,5.8,,,0.7,-16%,-17%,,
160,104,234,PIC,PIC,PERPETUAL EQUITY INVESTMENT COMPANY LIMITED, 276 ,Miscellaneous,-10%,3.8,,,0.9,-4%,-4%,74%,23%
108,135,79,MHJ,MHJ,MICHAEL HILL INTERNATIONAL LIMITED, 276 ,Retail Trade,13%,0.8,9.7,5.2,2.3,9%,24%,30%,35%
500,34,353,ZIP,ZIP,ZIP CO LIMITED.., 276 ,Finance,-91%,0.6,,,1.4,-33%,-164%,58%,11%
314,30,363,SSM,SSM,SERVICE STREAM LIMITED, 276 ,Commercial Services,-23%,0.3,,9.4,0.9,-5%,-9%,4%,6%
257,198,437,RED,RED,RED 5 LIMITED, 274 ,Non-Energy Minerals,-41%,2.2,,,2,-11%,-23%,-23%,-6%
208,250,21,BLX,BLX,BEACON LIGHTING GROUP LIMITED, 267 ,Producer Manufacturing,-22%,1.5,10.9,17.1,3.3,12%,33%,69%,60%
66,380,65,SNL,SNL,SUPPLY NETWORK LIMITED, 263 ,Distribution Services,25%,2.1,20.6,73.1,7,16%,37%,22%,31%
215,178,430,VG8,VG8,VGI PARTNERS ASIAN INVESTMENTS LIMITED, 263 ,Miscellaneous,-8%,82.9,,4.1,0.9,-12%,-15%,-100%,-1%
328,399,414,DVP,DVP,DEVELOP GLOBAL LIMITED, 262 ,Non-Energy Minerals,-26%,81.6,,,2.8,-7%,-10%,-35%,-3%
116,213,130,ALI,ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED, 261 ,Miscellaneous,1%,8,12.8,,1,8%,8%,89%,10%
115,146,120,PE1,PE1,PENGANA PRIVATE EQUITY TRUST, 261 ,Miscellaneous,3%,10.8,5.2,,1,18%,19%,43%,3%
165,484,474,CTM,CTM,CENTAURUS METALS LIMITED, 260 ,Non-Energy Minerals,-16%,,,,19.5,-51%,-60%,,0%
182,43,229,ASG,ASG,AUTOSPORTS GROUP LIMITED., 257 ,Retail Trade,-12%,0.2,7.6,8.2,0.9,4%,12%,9%,14%
124,17,244,SGLLV,SGLLV,SUNRICE B LTDVOTE, 256 ,Distribution Services,-2%,0.3,8.4,,0.8,4%,10%,11%,12%
407,467,480,RAC,RAC,RACE ONCOLOGY LTD, 254 ,Health Technology,-21%,,,,10.7,-43%,-45%,,-1%
260,130,217,HT1,HT1,HT&E LIMITED, 254 ,Consumer Services,-14%,1.6,13,18,0.8,4%,6%,42%,10%
187,458,493,IHL,IHL,INCANNEX HEALTHCARE LIMITED, 250 ,Health Technology,-29%,,,,9.4,-63%,-67%,,-5%
384,98,86,MNY,MNY,MONEY3 CORPORATION LIMITED, 249 ,Finance,-43%,2.2,7.9,,1.1,7%,15%,80%,21%
284,397,347,RUL,RUL,RPMGLOBAL HOLDINGS LIMITED, 246 ,Technology Services,-13%,4.7,,,6.5,-4%,-8%,14%,11%
237,491,485,TLG,TLG,TALGA GROUP LTD, 244 ,Non-Energy Minerals,-26%,22140.2,,,13.7,-78%,-90%,-181658%,-90%
81,376,396,GLN,GLN,GALAN LITHIUM LIMITED, 244 ,Process Industries,12%,,,,4.3,-8%,-8%,,0%
399,436,483,WBT,WBT,WEEBIT NANO LTD, 242 ,Electronic Technology,-35%,,,,6.9,-70%,-73%,,0%
439,29,172,RMC,RMC,RESIMAC GROUP LTD, 241 ,Finance,-49%,0.8,3.8,,1,1%,29%,92%,3%
214,248,298,PAC,PAC,PACIFIC CURRENT GROUP LIMITED, 240 ,Finance,-7%,9.1,,76.8,0.8,-7%,-8%,92%,7%
449,8,368,SBM,SBM,ST BARBARA LIMITED, 239 ,Non-Energy Minerals,-70%,0.5,,,0.3,-10%,-15%,12%,5%
462,299,303,NTO,NTO,NITRO SOFTWARE LIMITED, 239 ,Technology Services,-52%,4.7,,,2.4,-30%,-50%,83%,29%
321,39,180,EHL,EHL,EMECO HOLDINGS LIMITED, 237 ,Finance,-36%,0.5,6.2,9.5,0.7,6%,12%,22%,16%
298,147,66,ALK,ALK,ALKANE RESOURCES LIMITED, 236 ,Non-Energy Minerals,-32%,2.3,5.4,8.5,1.4,23%,31%,36%,16%
416,326,248,PPS,PPS,PRAEMIUM LIMITED, 234 ,Technology Services,-39%,5.7,8.4,26.1,3.6,3%,4%,29%,12%
417,476,463,PAR,PAR,PARADIGM BIOPHARMACEUTICALS LIMITED.., 233 ,Health Technology,-32%,3978.3,,,7.4,-58%,-65%,-325%,-1%
141,284,199,MVF,MVF,MONASH IVF GROUP LIMITED, 233 ,Health Services,2%,1.9,19.9,133.4,1.4,5%,7%,30%,15%
455,101,185,DGL,DGL,DGL GROUP LIMITED, 232 ,Industrial Services,-58%,1,13.4,,1.2,7%,11%,20%,14%
48,45,280,MLD,MLD,MACA LIMITED, 232 ,Non-Energy Minerals,40%,0.2,8.7,6.4,0.9,5%,11%,4%,6%
450,30,419,SLC,SLC,SUPERLOOP LIMITED, 231 ,Industrial Services,-36%,1.5,,,0.9,-11%,-15%,-2%,-1%
413,278,100,UNI,UNI,UNIVERSAL STORE HOLDINGS LIMITED, 231 ,Retail Trade,-40%,1.7,17.5,15,3.2,9%,19%,26%,24%
278,159,201,JMS,JMS,JUPITER MINES LIMITED., 228 ,Non-Energy Minerals,-21%,49.6,6.7,,0.8,8%,9%,44%,1%
476,11,397,WGX,WGX,WESTGOLD RESOURCES LIMITED., 228 ,Non-Energy Minerals,-60%,0.5,,,0.6,-12%,-19%,4%,3%
287,360,225,RDY,RDY,READYTECH HOLDINGS LIMITED, 225 ,Technology Services,-13%,3.9,35.4,20,3.2,5%,10%,22%,9%
341,245,91,BBN,BBN,BABY BUNTING GROUP LIMITED, 224 ,Retail Trade,-51%,0.7,18.5,23.4,3.1,6%,18%,32%,47%
244,56,403,PMC,PMC,PLATINUM CAPITAL LIMITED, 224 ,Miscellaneous,-13%,,,11.8,0.8,-4%,-4%,,-6%
297,88,273,CVW,CVW,CLEARVIEW WEALTH LIMITED, 222 ,Finance,-25%,0.8,37.8,1.3,0.7,0%,2%,48%,9%
74,207,81,GNG,GNG,GR ENGINEERING SERVICES LIMITED, 221 ,Industrial Services,21%,0.6,10.6,8.1,5.7,18%,61%,10%,28%
58,124,151,IGL,IGL,IVE GROUP LIMITED, 219 ,Commercial Services,33%,0.4,12.5,7.4,1.8,4%,15%,24%,28%
431,499,497,AKP,AKP,AUDIO PIXELS HOLDINGS LIMITED, 218 ,Consumer Durables,-49%,3210.6,,,569.8,-53%,-352%,,
235,307,234,CAJ,CAJ,CAPITOL HEALTH LIMITED, 217 ,Health Services,-12%,1.8,30.7,31.9,2.1,4%,7%,21%,14%
468,118,96,ADH,ADH,ADAIRS LIMITED, 216 ,Retail Trade,-50%,0.6,7.4,15,1.7,9%,25%,26%,24%
5,494,491,ASN,ASN,ANSON RESOURCES LIMITED, 215 ,Non-Energy Minerals,219%,,,,40.4,-71%,-132%,,-1%
492,75,304,KGN,KGN,KOGAN.COM LTD, 214 ,Retail Trade,-73%,0.5,,4.9,2,-9%,-20%,26%,51%
78,420,460,MNS,MNS,MAGNIS ENERGY TECHNOLOGIES LTD, 214 ,Producer Manufacturing,-8%,,,,5.7,-18%,-47%,,0%
140,312,319,BUB,BUB,BUBS AUSTRALIA LIMITED, 214 ,Distribution Services,-8%,3.3,,,3.3,-10%,-13%,31%,21%
290,139,145,SRV,SRV,SERVCORP LIMITED, 212 ,Finance,-12%,1.2,12,2.8,1.7,5%,14%,39%,18%
20,476,434,NWE,NWE,NORWEST ENERGY NL, 211 ,Energy Minerals,108%,,,,11.9,-12%,-12%,,0%
441,133,112,BFG,BFG,BELL FINANCIAL GROUP LIMITED, 210 ,Finance,-42%,1.1,9,12.3,1.4,3%,16%,96%,17%
241,472,427,A4N,A4N,ALPHA HPA LIMITED, 210 ,Non-Energy Minerals,-19%,8198.8,,,6.8,-14%,-15%,-362%,0%
222,500,478,KCN,KCN,KINGSGATE CONSOLIDATED LIMITED., 209 ,Non-Energy Minerals,-14%,,,,622.7,-28%,-6088%,,0%
358,37,195,CWP,CWP,CEDAR WOODS PROPERTIES LIMITED, 207 ,Finance,-34%,1,8.9,,0.8,5%,9%,29%,13%
11,474,484,AVR,AVR,ANTERIS TECHNOLOGIES LTD, 207 ,Commercial Services,162%,21.8,,,17.7,-131%,-255%,-169%,-20%
166,35,87,SDG,SDG,SUNLAND GROUP LIMITED, 207 ,Finance,-3%,0.6,3.5,1.2,0.9,19%,28%,19%,23%
80,96,175,SST,SST,STEAMSHIPS TRADING COMPANY LIMITED, 205 ,Transportation,14%,1.5,8.6,13.6,0.8,6%,9%,41%,11%
432,369,346,ELO,ELO,ELMO SOFTWARE LIMITED, 205 ,Technology Services,-33%,3.1,,166.5,2.8,-26%,-57%,45%,14%
382,400,68,CGS,CGS,COGSTATE LTD, 204 ,Commercial Services,-16%,5.2,30.8,20.9,6.7,14%,27%,35%,25%
256,315,239,AMH,AMH,AMCIL LIMITED, 204 ,Miscellaneous,-17%,30.2,38.4,,1.1,2%,3%,99%,3%
207,279,307,3PL,3PL,3P LEARNING LIMITED.., 203 ,Technology Services,-13%,3.5,,27.7,1.7,0%,0%,27%,10%
373,141,104,DDH,DDH,DDH1 LIMITED, 202 ,Industrial Services,-33%,0.7,8.4,174.6,1,9%,13%,33%,27%
106,10,386,NEW,NEW,NEW ENERGY SOLAR LIMITED, 200 ,Utilities,18%,,,,0.9,-5%,-5%,,
489,97,278,APX,APX,APPEN LIMITED, 200 ,Technology Services,-76%,0.6,20,24.1,0.6,3%,3%,14%,14%
491,200,404,BET,BET,BETMAKERS TECHNOLOGY GROUP LTD, 197 ,Consumer Services,-70%,3.2,,,1.6,-39%,-46%,11%,4%
377,395,407,C79,C79,CHRYSOS CORPORATION LIMITED, 197 ,Commercial Services,-26%,556.2,,,2.6,-5%,-6%,-1987%,-8%
59,76,245,SRG,SRG,SRG GLOBAL LIMITED, 196 ,Industrial Services,30%,0.5,15.6,,1.3,4%,8%,,
255,325,332,PAN,PAN,PANORAMIC RESOURCES LIMITED, 194 ,Non-Energy Minerals,-38%,3.6,51.7,,1.8,3%,4%,10%,3%
186,351,445,PDI,PDI,PREDICTIVE DISCOVERY LIMITED, 194 ,Non-Energy Minerals,-3%,,,,3.8,-16%,-18%,,0%
346,190,408,HLO,HLO,HELLOWORLD TRAVEL LIMITED, 193 ,Consumer Services,-30%,4.8,3.4,28.9,1,-5%,-11%,-30%,-4%
316,217,156,PPE,PPE,PEOPLEIN LIMITED, 192 ,Commercial Services,-30%,0.4,17,30.7,2.2,6%,14%,,
